Overall,Age,Potential,Crossing,Finishing,HeadingAccuracy,ShortPassing,Dribbling,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Reactions,ShotPower,Stamina,Strength,LongShots,Aggression,Penalties,StandingTackle
88,26,89,87,83,64,91,83,87,88,87,77,73,91,89,91,70,89,78,91,73
87,26,88,75,82,86,86,84,75,84,87,78,83,88,85,88,88,86,81,60,85
88,34,88,80,93,84,83,83,82,77,86,76,69,92,89,78,85,88,87,83,45
91,30,91,94,82,55,94,88,83,93,91,76,76,91,91,89,74,91,76,83,65
84,29,84,87,66,58,82,87,75,78,88,77,76,83,82,90,80,81,84,76,84
89,26,90,91,68,72,87,83,61,90,85,77,65,88,78,94,68,84,89,44,85
83,32,83,67,83,85,82,82,75,76,83,73,71,82,83,91,82,80,81,71,79
84,30,84,72,75,78,87,85,73,81,88,78,76,86,78,93,74,73,75,74,80
82,27,83,69,76,82,83,82,64,83,79,67,87,81,85,88,86,81,88,60,87
85,30,85,83,84,83,84,85,85,82,89,80,80,89,82,86,63,83,73,79,54
87,35,87,86,72,55,91,85,78,89,90,76,70,88,79,83,58,82,62,82,75
86,26,89,74,81,67,86,82,58,83,84,86,90,86,84,90,79,79,83,64,80
88,35,88,66,65,92,82,65,76,83,83,71,69,92,79,78,84,64,90,92,89
84,29,84,80,60,74,85,77,85,80,84,78,77,88,82,75,76,78,74,79,83
83,25,87,77,79,81,84,83,69,82,84,73,75,84,84,84,79,78,81,58,84
84,24,89,69,69,53,86,83,67,79,87,80,76,89,69,95,69,72,79,73,75
82,28,82,86,63,68,82,77,79,81,80,81,84,81,87,85,65,83,76,81,78
87,24,92,78,72,72,91,88,64,87,89,80,82,88,68,90,74,66,75,45,76
84,27,85,74,81,60,84,79,78,81,82,75,81,86,88,85,76,88,77,72,70
83,33,83,84,70,67,81,90,69,69,85,91,89,82,84,78,66,80,78,65,80
85,29,85,85,72,61,86,80,76,84,83,72,69,88,83,93,75,80,79,67,81
86,27,87,86,68,72,85,85,69,78,85,86,84,85,80,90,62,75,73,46,82
84,27,84,88,60,71,81,78,83,73,84,81,77,83,83,86,69,76,76,60,83
84,28,84,91,75,59,80,85,80,75,82,89,88,82,85,90,77,78,80,64,72
87,22,92,92,60,69,86,78,85,90,86,77,80,82,82,88,63,75,74,55,83
85,26,87,64,80,86,85,84,78,85,86,66,70,83,83,91,87,80,79,56,79
81,34,81,76,75,81,81,76,68,79,83,66,65,81,84,78,80,81,92,81,84
87,28,87,77,75,74,88,88,82,92,90,63,77,83,90,77,89,84,78,81,67
89,29,89,58,64,79,84,69,74,84,79,60,69,87,88,89,90,81,91,66,88
93,34,93,85,95,70,91,96,94,91,96,91,80,94,86,72,69,94,44,75,35
80,23,86,72,67,61,81,84,68,79,83,86,83,80,89,87,83,78,84,68,74
83,26,83,79,86,77,80,85,65,72,84,80,82,85,84,91,81,80,82,79,61
86,32,86,85,73,70,85,81,63,79,85,87,86,80,64,87,61,66,75,59,78
92,32,92,71,95,90,85,85,85,70,88,77,79,93,90,76,86,87,81,90,42
89,29,89,79,91,59,84,90,69,75,89,89,91,92,82,85,75,84,63,86,43
83,24,86,88,70,65,81,84,76,81,84,85,73,82,80,85,60,69,77,55,74
91,36,91,87,95,90,80,88,84,77,88,85,88,94,94,77,77,93,63,88,32
79,38,79,80,43,54,78,74,88,82,82,77,78,77,91,60,84,85,74,79,75
